FullName;Country;Party;EPG;Start;End;vote1;vote2;vote3
Catherine STIHLER;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 01 2019;1;2;2
Jill EVANS;United Kingdom;Plaid Cymru - Party of Wales;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;3;3;1
Jacqueline FOSTER;United Kingdom;Conservative Party;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Daniel HANNAN;United Kingdom;Conservative Party;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Nirj DEVA;United Kingdom;Conservative Party;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;5;5
Bart STAES;Belgium;Groen;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Brice HORTEFEUX;France;Les Républicains;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Kathleen VAN BREMPT;Belgium;Socialistische Partij.Anders;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Mary HONEYBALL;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Sylvie GODDYN;France;Rassemblement national;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;5;1;2
Mario BORGHEZIO;Italy;Lega Nord;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;3
Manuel dos SANTOS;Portugal;Partido Socialista;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;28.06.2016;31 12 2019;0;0;0
Esther HERRANZ GARCÍA;Spain;Partido Popular;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Alojz PETERLE;Slovenia;Nova Slovenija – Krščanski demokrati;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Kateřina KONEČNÁ;Czech Republic;Komunistická strana Čech a Moravy;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;1
Jiří MAŠTÁLKA;Czech Republic;Komunistická strana Čech a Moravy;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;3;1;1
Miloslav RANSDORF;Czech Republic;Komunistická strana Čech a Moravy;Non-attached Members;01.07.2014;22 01 2016;3;1;1
Jan ZAHRADIL;Czech Republic;Občanská demokratická strana;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Bogusław LIBERADZKI;Poland;Sojusz Lewicy Demokratycznej;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Janusz LEWANDOWSKI;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Janusz WOJCIECHOWSKI;Poland;Prawo i Sprawiedliwość;Non-attached Members;01.07.2014;07 05 2016;1;2;2
Andrzej GRZYB;Poland;Polskie Stronnictwo Ludowe;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Czesław Adam SIEKIERSKI;Poland;Polskie Stronnictwo Ludowe;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;2;2
Kazimierz Michał UJAZDOWSKI;Poland;Independent;Non-attached Members;01.07.2014;31 12 2019;1;1;3
András GYÜRK;Hungary;Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
József SZÁJER;Hungary;Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Monika BEŇOVÁ;Slovakia;SMER-Sociálna demokracia;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Anna ZÁBORSKÁ;Slovakia;Kresťanskodemokratické hnutie;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Emmanuel MAUREL;France;Parti socialiste;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;3;2
Anne SANDER;France;Les Républicains;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Pascal ARIMONT;Belgium;Christlich Soziale Partei;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Ana MIRANDA;Spain;Bloque Nacionalista Galego;Group of the Greens/European Free Alliance;28.02.2018;31 12 2019;0;0;0
Eleni THEOCHAROUS;Cyprus;Independent;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;2;2
Florent MARCELLESI;Spain;EQUO;Group of the Greens/European Free Alliance;11.10.2016;31 12 2019;0;0;0
Lefteris CHRISTOFOROU;Cyprus;Democratic Rally;Group of the European People's Party (Christian Democrats);03.11.2014;31 12 2019;0;0;0
Nikolaos CHOUNTIS;Greece;Popular Unity;Confederal Group of the European United Left - Nordic Green Left;20.07.2015;31 12 2019;0;0;0
Mairead McGUINNESS;Ireland;Fine Gael Party;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Marian HARKIN;Ireland;Independent;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
David CASA;Malta;Partit Nazzjonalista;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Gunnar HÖKMARK;Sweden;Moderaterna;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Christofer FJELLNER;Sweden;Moderaterna;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;4;4;4
Anna HEDH;Sweden;Arbetarepartiet- Socialdemokraterna;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Richard ASHWORTH;United Kingdom;Conservative Party;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;2;2;2
György SCHÖPFLIN;Hungary;Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Lívia JÁRÓKA;Hungary;Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Group of the European People's Party (Christian Democrats);15.09.2017;31 12 2019;0;0;0
Kinga GÁL;Hungary;Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Ole CHRISTENSEN;Denmark;Socialdemokratiet;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Margrete AUKEN;Denmark;Socialistisk Folkeparti;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Lambert van NISTELROOIJ;Netherlands;Christen Democratisch Appèl;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Vincent PEILLON;France;Parti socialiste;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Miroslav MIKOLÁŠIK;Slovakia;Kresťanskodemokratické hnutie;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Vladimír MAŇKA;Slovakia;SMER-Sociálna demokracia;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Jean-Marie CAVADA;France;Génération Citoyens;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Nathalie GRIESBECK;France;Mouvement Démocrate;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Marine LE PEN;France;Front national;Non-attached Members;01.07.2014;18 06 2017;5;1;2
Daniel CASPARY;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Ingeborg GRÄSSLE;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Andreas SCHWAB;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Markus PIEPER;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Herbert REUL;Germany;Christlich Demokratische Union Deutschlands;Non-attached Members;01.07.2014;06 07 2017;1;2;2
Christian EHLER;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Albert DESS;Germany;Christlich-Soziale Union in Bayern e.V.;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Manfred WEBER;Germany;Christlich-Soziale Union in Bayern e.V.;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;5;5
Rebecca HARMS;Germany;Bündnis 90/Die Grünen;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Michael CRAMER;Germany;Bündnis 90/Die Grünen;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Helga TRÜPEL;Germany;Bündnis 90/Die Grünen;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Alexander Graf LAMBSDORFF;Germany;Freie Demokratische Partei;Non-attached Members;01.07.2014;23 10 2017;1;2;2
Wolf KLINZ;Germany;Freie Demokratische Partei;Group of the Alliance of Liberals and Democrats for Europe;06.11.2017;31 12 2019;0;0;0
Gabriele ZIMMER;Germany;DIE LINKE.;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;1
Jörg LEICHTFRIED;Austria;Sozialdemokratische Partei Österreichs;Non-attached Members;01.07.2014;23 06 2015;1;2;5
Ivo BELET;Belgium;Christen-Democratisch & Vlaams;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Sophia IN 'T VELD;Netherlands;Democraten 66;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Jerzy BUZEK;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;5;2
Laima Liucija ANDRIKIENĖ;Lithuania;Tėvynės sąjunga-Lietuvos krikščionys demokratai;Group of the European People's Party (Christian Democrats);30.05.2016;31 12 2019;0;0;0
Barbara KUDRYCKA;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Jan OLBRYCHT;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Inés AYALA SENDER;Spain;Partido Socialista Obrero Español;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Jacek SARYUSZ-WOLSKI;Poland;Bezpartyjny;Non-attached Members;01.07.2014;31 12 2019;1;5;5
Iratxe GARCÍA PÉREZ;Spain;Partido Socialista Obrero Español;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Bogusław SONIK;Poland;NA;Non-attached Members;20.11.2018;31 12 2019;0;0;0
Tadeusz ZWIEFKA;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Ana GOMES;Portugal;Partido Socialista;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Francisco ASSIS;Portugal;Partido Socialista;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Elisa FERREIRA;Portugal;Partido Socialista;Non-attached Members;01.07.2014;19 06 2016;1;2;2
Anneli JÄÄTTEENMÄKI;Finland;Suomen Keskusta;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Hannu TAKKULA;Finland;Suomen Keskusta;Non-attached Members;27.04.2015;28 02 2018;0;0;0
Jaromír KOHLÍČEK;Czech Republic;Komunistická strana Čech a Moravy;Confederal Group of the European United Left - Nordic Green Left;04.02.2016;31 12 2019;0;0;0
Urszula KRUPA;Poland;Independent;European Conservatives and Reformists Group;24.06.2016;31 12 2019;0;0;0
Patrizia TOIA;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Mirosław PIOTROWSKI;Poland;Niezależny;European Conservatives and Reformists Group;01.07.2014;31 12 2019;5;2;2
Mercedes BRESSO;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Anna FOTYGA;Poland;Prawo i Sprawiedliwość;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;2;2
Pier Antonio PANZERI;Italy;Articolo UNO – Movimento Democratico e Progressista;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Ryszard CZARNECKI;Poland;Prawo i Sprawiedliwość;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;2;2
Lidia Joanna GERINGER DE OEDENBERG;Poland;Bezpartyjna;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Adam GIEREK;Poland;Unia Pracy;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Zbigniew KUŹMIUK;Poland;Prawo i Sprawiedliwość;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;2;2
Pilar del CASTILLO VERA;Spain;Partido Popular;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Luis de GRANDES PASCUAL;Spain;Partido Popular;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;2;2
Dariusz ROSATI;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;1;2
Agustín DÍAZ DE MERA GARCÍA CONSUEGRA;Spain;Partido Popular;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Carlos ITURGAIZ;Spain;Partido Popular;Group of the European People's Party (Christian Democrats);06.11.2014;31 12 2019;0;0;0
Antonio LÓPEZ-ISTÚRIZ WHITE;Spain;Partido Popular;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;4;4;4
Francisco José MILLÁN MON;Spain;Partido Popular;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Matteo SALVINI;Italy;Lega Nord;Non-attached Members;01.07.2014;22 03 2018;2;1;3
Willy MEYER;Spain;NA;Non-attached Members;01.07.2014;09 07 2014;0;0;0
Tunne KELAM;Estonia;Isamaa;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Alessandra MUSSOLINI;Italy;Independent;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Lorenzo CESA;Italy;Unione di Centro;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Sajjad KARIM;United Kingdom;Conservative Party;European Conservatives and Reformists Group;01.07.2014;31 12 2019;5;2;2
Gerard BATTEN;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;5;1;1
Alyn SMITH;United Kingdom;Scottish National Party;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Dimitrios PAPADIMOULIS;Greece;Coalition of the Radical Left;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;5;1;1
Roberts ZĪLE;Latvia;Nacionālā apvienība 'Visu Latvijai!'-'Tēvzemei un Brīvībai/LNNK';European Conservatives and Reformists Group;01.07.2014;31 12 2019;5;2;2
Inese VAIDERE;Latvia;Partija 'VIENOTĪBA';Group of the European People's Party (Christian Democrats);01.11.2014;31 12 2019;0;0;0
Valdis DOMBROVSKIS;Latvia;Partija 'VIENOTĪBA';Non-attached Members;01.07.2014;31 10 2014;1;2;2
Tatjana ŽDANOKA;Latvia;Latvijas Krievu savienība;Non-attached Members;01.07.2014;04 03 2018;3;1;1
Marc TARABELLA;Belgium;Parti Socialiste;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Louis ALIOT;France;Front national;Non-attached Members;01.07.2014;20 07 2017;5;1;2
Younous OMARJEE;France;L'union pour les Outremer;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;5;1;1
Syed KAMALL;United Kingdom;Conservative Party;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Marian-Jean MARINESCU;Romania;Partidul Naţional Liberal;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;2;2
Ioan Mircea PAŞCU;Romania;Partidul Social Democrat;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Daciana Octavia SÂRBU;Romania;Independent;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Corina CREȚU;Romania;Partidul Social Democrat;Non-attached Members;01.07.2014;31 10 2014;1;2;2
Filiz HYUSMENOVA;Bulgaria;Movement for Rights and Freedoms;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Nedzhmi ALI;Bulgaria;Movement for Rights and Freedoms;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Matthias GROOTE;Germany;Sozialdemokratische Partei Deutschlands;Non-attached Members;01.07.2014;31 10 2016;1;2;2
Daniel DALTON;United Kingdom;Conservative Party;European Conservatives and Reformists Group;08.01.2015;31 12 2019;0;0;0
Dame Glenis WILLMOTT;United Kingdom;Labour Party;Non-attached Members;01.07.2014;02 10 2017;1;2;2
Aldo PATRICIELLO;Italy;Forza Italia;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Kati PIRI;Netherlands;Partij van de Arbeid;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Christel SCHALDEMOSE;Denmark;Socialdemokratiet;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Adina-Ioana VĂLEAN;Romania;Partidul Naţional Liberal;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Eduard-Raul HELLVIG;Romania;Partidul Naţional Liberal;Non-attached Members;01.07.2014;01 03 2015;1;2;2
Esther DE LANGE;Netherlands;Christen Democratisch Appèl;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Cristian-Silviu BUŞOI;Romania;Partidul Naţional Liberal;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;5;5
Georg MAYER;Austria;Freiheitliche Partei Österreichs;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;2
Elisabeth MORIN-CHARTIER;France;Indépendant;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
