FullName;title;Photo;birthdate;birthplace;Gender
Richard CORBETT;NA;https://www.europarl.europa.eu/mepphoto/2309.jpg;06.01.1955;Southport;M
Rainer WIELAND;NA;https://www.europarl.europa.eu/mepphoto/2323.jpg;19.02.1957;Stuttgart - Bad Cannstatt;M
Linda McAVAN;NA;https://www.europarl.europa.eu/mepphoto/2327.jpg;02.12.1962;Bradford;F
Ian HUDGHTON;NA;https://www.europarl.europa.eu/mepphoto/2338.jpg;19.09.1951;Forfar;M
Michael GAHLER;NA;https://www.europarl.europa.eu/mepphoto/2341.jpg;22.04.1960;Frankfurt/Main;M
Othmar KARAS;NA;https://www.europarl.europa.eu/mepphoto/4246.jpg;24.12.1957;Ybbs an der Donau;M
Frédérique RIES;NA;https://www.europarl.europa.eu/mepphoto/4253.jpg;14.05.1959;Balen-Wezel;F
Jo LEINEN;NA;https://www.europarl.europa.eu/mepphoto/4262.jpg;06.04.1948;Bisten;M
Udo BULLMANN;NA;https://www.europarl.europa.eu/mepphoto/4267.jpg;08.06.1956;Gießen;M
Marit PAULSEN;NA;https://www.europarl.europa.eu/mepphoto/4270.jpg;24.11.1939;Oslo;F
Renate SOMMER;NA;https://www.europarl.europa.eu/mepphoto/4282.jpg;10.09.1958;Bochum;F
Angelika NIEBLER;NA;https://www.europarl.europa.eu/mepphoto/4289.jpg;18.02.1963;München;F
Pilar AYUSO;NA;https://www.europarl.europa.eu/mepphoto/4319.jpg;16.06.1942;Badajoz;F
Elena VALENCIANO;NA;https://www.europarl.europa.eu/mepphoto/4334.jpg;18.09.1960;Madrid;F
Marielle DE SARNEZ;NA;https://www.europarl.europa.eu/mepphoto/4335.jpg;27.03.1951;Paris;F
Thierry CORNILLET;NA;https://www.europarl.europa.eu/mepphoto/4338.jpg;23.07.1951;Montelimar;M
Tokia SAÏFI;NA;https://www.europarl.europa.eu/mepphoto/4345.jpg;11.07.1959;Hautmont;F
Claude TURMES;NA;https://www.europarl.europa.eu/mepphoto/4432.jpg;26.11.1960;Diekirch;M
Gianni PITTELLA;NA;https://www.europarl.europa.eu/mepphoto/4436.jpg;19.11.1958;Lauria (PZ);M
Raffaele FITTO;NA;https://www.europarl.europa.eu/mepphoto/4465.jpg;28.08.1969;Maglie;M
Bas BELDER;NA;https://www.europarl.europa.eu/mepphoto/4507.jpg;25.10.1946;Ridderkerk;M
Geoffrey VAN ORDEN;NA;https://www.europarl.europa.eu/mepphoto/4513.jpg;10.04.1945;Waterlooville;M
Roger HELMER;NA;https://www.europarl.europa.eu/mepphoto/4516.jpg;25.01.1944;London;M
Claude MORAES;NA;https://www.europarl.europa.eu/mepphoto/4519.jpg;22.10.1965;Aden;M
Timothy Charles Ayrton TANNOCK;NA;https://www.europarl.europa.eu/mepphoto/4521.jpg;25.09.1957;Aldershot, Hants;M
Nigel FARAGE;NA;https://www.europarl.europa.eu/mepphoto/4525.jpg;03.04.1964;Farnborough;M
Jean LAMBERT;NA;https://www.europarl.europa.eu/mepphoto/4531.jpg;01.06.1950;Orsett;F
Neena GILL;NA;https://www.europarl.europa.eu/mepphoto/4533.jpg;24.12.1956;Ludhiana (India);F
Philip BRADBOURN;NA;https://www.europarl.europa.eu/mepphoto/4540.jpg;09.08.1951;Tipton;NA
Timothy KIRKHOPE;NA;https://www.europarl.europa.eu/mepphoto/4542.jpg;29.04.1945;Newcastle upon Tyne;M
Catherine STIHLER;NA;https://www.europarl.europa.eu/mepphoto/4545.jpg;30.07.1973;Bellshill;F
Jill EVANS;NA;https://www.europarl.europa.eu/mepphoto/4550.jpg;08.05.1959;Ystrad Rhondda (Wales);F
Jacqueline FOSTER;NA;https://www.europarl.europa.eu/mepphoto/4553.jpg;NA;NA;F
Daniel HANNAN;NA;https://www.europarl.europa.eu/mepphoto/4555.jpg;01.09.1971;Lima;M
Nirj DEVA;NA;https://www.europarl.europa.eu/mepphoto/4556.jpg;11.05.1948;Colombo (Sri Lanka);M
Bart STAES;NA;https://www.europarl.europa.eu/mepphoto/4751.jpg;07.08.1958;Izegem;M
Brice HORTEFEUX;NA;https://www.europarl.europa.eu/mepphoto/5565.jpg;11.05.1958;NA;M
Kathleen VAN BREMPT;NA;https://www.europarl.europa.eu/mepphoto/5729.jpg;18.11.1969;Wilrijk;F
Mary HONEYBALL;NA;https://www.europarl.europa.eu/mepphoto/5846.jpg;12.11.1952;Weymouth;F
Sylvie GODDYN;NA;https://www.europarl.europa.eu/mepphoto/21331.jpg;24.06.1964;Lille;F
Mario BORGHEZIO;NA;https://www.europarl.europa.eu/mepphoto/21817.jpg;03.12.1947;Torino;M
Manuel dos SANTOS;NA;https://www.europarl.europa.eu/mepphoto/21918.jpg;05.12.1943;Mirandela;M
Esther HERRANZ GARCÍA;NA;https://www.europarl.europa.eu/mepphoto/22418.jpg;03.07.1969;Logroño;F
Alojz PETERLE;NA;https://www.europarl.europa.eu/mepphoto/23693.jpg;05.07.1948;Čužnja Vas;M
Kateřina KONEČNÁ;NA;https://www.europarl.europa.eu/mepphoto/23699.jpg;20.01.1981;Nový Jičín;F
Jiří MAŠTÁLKA;NA;https://www.europarl.europa.eu/mepphoto/23704.jpg;03.01.1956;Sušice;M
Miloslav RANSDORF;NA;https://www.europarl.europa.eu/mepphoto/23706.jpg;15.02.1953;Rakovník;M
Jan ZAHRADIL;NA;https://www.europarl.europa.eu/mepphoto/23712.jpg;20.03.1963;Praha;M
Bogusław LIBERADZKI;NA;https://www.europarl.europa.eu/mepphoto/23768.jpg;12.09.1948;Sochaczew;M
Janusz LEWANDOWSKI;NA;https://www.europarl.europa.eu/mepphoto/23781.jpg;13.06.1951;Lublin;M
Janusz WOJCIECHOWSKI;NA;https://www.europarl.europa.eu/mepphoto/23784.jpg;06.12.1954;Rawa Mazowiecka;M
Andrzej GRZYB;NA;https://www.europarl.europa.eu/mepphoto/23785.jpg;23.08.1956;Siedlików;M
Czesław Adam SIEKIERSKI;NA;https://www.europarl.europa.eu/mepphoto/23787.jpg;08.10.1952;Stopnica;M
Kazimierz Michał UJAZDOWSKI;NA;https://www.europarl.europa.eu/mepphoto/23791.jpg;28.07.1964;Kielce;M
András GYÜRK;NA;https://www.europarl.europa.eu/mepphoto/23816.jpg;02.12.1972;Budapest;M
József SZÁJER;NA;https://www.europarl.europa.eu/mepphoto/23821.jpg;07.09.1961;Sopron;M
Monika BEŇOVÁ;NA;https://www.europarl.europa.eu/mepphoto/23868.jpg;15.08.1968;Bratislava;F
Anna ZÁBORSKÁ;NA;https://www.europarl.europa.eu/mepphoto/23894.jpg;07.06.1948;Zürich;F
Emmanuel MAUREL;NA;https://www.europarl.europa.eu/mepphoto/24505.jpg;10.05.1973;Epinay sur Seine;M
Anne SANDER;NA;https://www.europarl.europa.eu/mepphoto/24594.jpg;01.10.1973;Haguenau;F
Pascal ARIMONT;NA;https://www.europarl.europa.eu/mepphoto/24922.jpg;25.09.1974;Malmedy;M
Ana MIRANDA;NA;https://www.europarl.europa.eu/mepphoto/24942.jpg;02.05.1971;Cuntis;F
Eleni THEOCHAROUS;NA;https://www.europarl.europa.eu/mepphoto/25704.jpg;24.06.1953;Amiantos;F
Florent MARCELLESI;NA;https://www.europarl.europa.eu/mepphoto/26146.jpg;10.04.1979;Angers;M
Lefteris CHRISTOFOROU;NA;https://www.europarl.europa.eu/mepphoto/26837.jpg;31.08.1963;Ammochostos;M
Nikolaos CHOUNTIS;NA;https://www.europarl.europa.eu/mepphoto/26851.jpg;17.09.1953;Lagadia Arkadias;M
Mairead McGUINNESS;NA;https://www.europarl.europa.eu/mepphoto/28115.jpg;13.06.1959;Drogheda;F
Marian HARKIN;NA;https://www.europarl.europa.eu/mepphoto/28116.jpg;26.11.1953;Sligo;F
David CASA;NA;https://www.europarl.europa.eu/mepphoto/28122.jpg;16.11.1968;Valletta;M
Gunnar HÖKMARK;NA;https://www.europarl.europa.eu/mepphoto/28124.jpg;19.09.1952;Ystad;M
Christofer FJELLNER;NA;https://www.europarl.europa.eu/mepphoto/28126.jpg;13.12.1976;Västerås;M
Anna HEDH;NA;https://www.europarl.europa.eu/mepphoto/28131.jpg;18.03.1967;Uppsala;F
Richard ASHWORTH;NA;https://www.europarl.europa.eu/mepphoto/28132.jpg;17.09.1947;Folkestone;M
György SCHÖPFLIN;NA;https://www.europarl.europa.eu/mepphoto/28135.jpg;24.11.1939;Budapest;M
Lívia JÁRÓKA;NA;https://www.europarl.europa.eu/mepphoto/28141.jpg;06.10.1974;Tata;F
Kinga GÁL;NA;https://www.europarl.europa.eu/mepphoto/28150.jpg;06.09.1970;Kolozsvár;F
Ole CHRISTENSEN;NA;https://www.europarl.europa.eu/mepphoto/28154.jpg;07.05.1955;Pandrup;M
Margrete AUKEN;NA;https://www.europarl.europa.eu/mepphoto/28161.jpg;06.01.1945;Arhus;F
Lambert van NISTELROOIJ;NA;https://www.europarl.europa.eu/mepphoto/28165.jpg;05.03.1953;Nuland;M
Vincent PEILLON;NA;https://www.europarl.europa.eu/mepphoto/28166.jpg;07.07.1960;Suresnes;M
Miroslav MIKOLÁŠIK;NA;https://www.europarl.europa.eu/mepphoto/28178.jpg;11.09.1952;NA;M
Vladimír MAŇKA;NA;https://www.europarl.europa.eu/mepphoto/28192.jpg;19.09.1959;Lučenec;M
Jean-Marie CAVADA;NA;https://www.europarl.europa.eu/mepphoto/28206.jpg;24.02.1940;Epinal;M
Nathalie GRIESBECK;NA;https://www.europarl.europa.eu/mepphoto/28208.jpg;24.05.1956;Metz;F
Marine LE PEN;NA;https://www.europarl.europa.eu/mepphoto/28210.jpg;05.08.1968;Neuilly sur Seine;F
Daniel CASPARY;NA;https://www.europarl.europa.eu/mepphoto/28219.jpg;04.04.1976;Karlsruhe;M
Ingeborg GRÄSSLE;NA;https://www.europarl.europa.eu/mepphoto/28220.jpg;02.03.1961;Heidenheim;F
Andreas SCHWAB;NA;https://www.europarl.europa.eu/mepphoto/28223.jpg;09.04.1973;NA;M
Markus PIEPER;NA;https://www.europarl.europa.eu/mepphoto/28224.jpg;15.05.1963;Hameln;M
Herbert REUL;NA;https://www.europarl.europa.eu/mepphoto/28225.jpg;31.08.1952;Langenfeld;M
Christian EHLER;NA;https://www.europarl.europa.eu/mepphoto/28226.jpg;17.08.1963;München;M
Albert DESS;NA;https://www.europarl.europa.eu/mepphoto/28228.jpg;17.04.1947;Röckersbühl;M
Manfred WEBER;NA;https://www.europarl.europa.eu/mepphoto/28229.jpg;14.07.1972;Niederhatzkofen;M
Rebecca HARMS;NA;https://www.europarl.europa.eu/mepphoto/28233.jpg;07.12.1956;Hambrock bei Uelzen;F
Michael CRAMER;NA;https://www.europarl.europa.eu/mepphoto/28238.jpg;16.06.1949;Gevelsberg;M
Helga TRÜPEL;NA;https://www.europarl.europa.eu/mepphoto/28240.jpg;21.07.1958;Moers;F
Alexander Graf LAMBSDORFF;NA;https://www.europarl.europa.eu/mepphoto/28242.jpg;05.11.1966;Köln;M
Wolf KLINZ;NA;https://www.europarl.europa.eu/mepphoto/28244.jpg;13.09.1941;Wien;M
Gabriele ZIMMER;NA;https://www.europarl.europa.eu/mepphoto/28248.jpg;07.05.1955;Berlin;F
Jörg LEICHTFRIED;NA;https://www.europarl.europa.eu/mepphoto/28251.jpg;18.06.1967;Bruck/Mur;M
Ivo BELET;NA;https://www.europarl.europa.eu/mepphoto/28257.jpg;07.06.1959;St Truiden;M
Sophia IN 'T VELD;NA;https://www.europarl.europa.eu/mepphoto/28266.jpg;13.09.1963;Vollenhove;F
Jerzy BUZEK;NA;https://www.europarl.europa.eu/mepphoto/28269.jpg;03.07.1940;Śmiłowice;M
Laima Liucija ANDRIKIENĖ;NA;https://www.europarl.europa.eu/mepphoto/28276.jpg;01.01.1958;Druskininkai;F
Barbara KUDRYCKA;NA;https://www.europarl.europa.eu/mepphoto/28284.jpg;22.01.1956;Kolno;F
Jan OLBRYCHT;NA;https://www.europarl.europa.eu/mepphoto/28288.jpg;21.09.1952;Rybnik;M
Inés AYALA SENDER;NA;https://www.europarl.europa.eu/mepphoto/28292.jpg;28.03.1957;Zaragoza;F
Jacek SARYUSZ-WOLSKI;NA;https://www.europarl.europa.eu/mepphoto/28297.jpg;19.09.1948;Łódż;M
Iratxe GARCÍA PÉREZ;NA;https://www.europarl.europa.eu/mepphoto/28298.jpg;07.10.1974;Baracaldo;F
Bogusław SONIK;NA;https://www.europarl.europa.eu/mepphoto/28299.jpg;03.12.1953;Kraków;M
Tadeusz ZWIEFKA;NA;https://www.europarl.europa.eu/mepphoto/28301.jpg;28.12.1954;Tuchola;M
Ana GOMES;NA;https://www.europarl.europa.eu/mepphoto/28306.jpg;09.02.1954;Lisboa;F
Francisco ASSIS;NA;https://www.europarl.europa.eu/mepphoto/28307.jpg;08.01.1965;Amarante;M
Elisa FERREIRA;NA;https://www.europarl.europa.eu/mepphoto/28308.jpg;17.10.1955;Porto;F
Anneli JÄÄTTEENMÄKI;NA;https://www.europarl.europa.eu/mepphoto/28314.jpg;11.02.1955;Lapua;F
Hannu TAKKULA;NA;https://www.europarl.europa.eu/mepphoto/28316.jpg;20.11.1963;NA;M
Jaromír KOHLÍČEK;NA;https://www.europarl.europa.eu/mepphoto/28331.jpg;23.02.1953;Teplice;M
Urszula KRUPA;NA;https://www.europarl.europa.eu/mepphoto/28334.jpg;20.10.1949;Łódź;F
Patrizia TOIA;NA;https://www.europarl.europa.eu/mepphoto/28340.jpg;17.03.1950;NA;F
Mirosław PIOTROWSKI;NA;https://www.europarl.europa.eu/mepphoto/28341.jpg;09.01.1966;Zielona Góra;M
Mercedes BRESSO;NA;https://www.europarl.europa.eu/mepphoto/28346.jpg;12.07.1944;Sanremo (IM);F
Anna FOTYGA;NA;https://www.europarl.europa.eu/mepphoto/28353.jpg;12.01.1957;Lębork;F
Pier Antonio PANZERI;NA;https://www.europarl.europa.eu/mepphoto/28365.jpg;06.06.1955;Riviera D'Adda;M
Ryszard CZARNECKI;NA;https://www.europarl.europa.eu/mepphoto/28372.jpg;25.01.1963;Londyn (GB);M
Lidia Joanna GERINGER DE OEDENBERG;NA;https://www.europarl.europa.eu/mepphoto/28377.jpg;12.09.1957;Wrocław;F
Adam GIEREK;NA;https://www.europarl.europa.eu/mepphoto/28379.jpg;17.04.1938;Zwartberg;M
Zbigniew KUŹMIUK;NA;https://www.europarl.europa.eu/mepphoto/28389.jpg;19.09.1956;Komorowo;M
Pilar del CASTILLO VERA;NA;https://www.europarl.europa.eu/mepphoto/28390.jpg;31.07.1952;Nador (Marruecos);F
Luis de GRANDES PASCUAL;NA;https://www.europarl.europa.eu/mepphoto/28393.jpg;27.01.1945;Guadalajara;M
Dariusz ROSATI;NA;https://www.europarl.europa.eu/mepphoto/28394.jpg;08.08.1946;Radom;M
Agustín DÍAZ DE MERA GARCÍA CONSUEGRA;NA;https://www.europarl.europa.eu/mepphoto/28397.jpg;27.09.1947;Daimiel (C.R.);M
Carlos ITURGAIZ;NA;https://www.europarl.europa.eu/mepphoto/28398.jpg;20.10.1965;Santurce;M
Antonio LÓPEZ-ISTÚRIZ WHITE;NA;https://www.europarl.europa.eu/mepphoto/28399.jpg;01.04.1970;Pamplona;M
Francisco José MILLÁN MON;NA;https://www.europarl.europa.eu/mepphoto/28400.jpg;08.03.1955;Pontevedra;M
Matteo SALVINI;NA;https://www.europarl.europa.eu/mepphoto/28404.jpg;09.03.1973;Milano;M
Willy MEYER;NA;https://www.europarl.europa.eu/mepphoto/28407.jpg;19.08.1952;Madrid;M
Tunne KELAM;NA;https://www.europarl.europa.eu/mepphoto/28424.jpg;10.07.1936;Taheva;M
Alessandra MUSSOLINI;NA;https://www.europarl.europa.eu/mepphoto/28429.jpg;30.12.1962;Roma;F
Lorenzo CESA;NA;https://www.europarl.europa.eu/mepphoto/28451.jpg;16.08.1951;Arcinazzo Romano;M
Sajjad KARIM;NA;https://www.europarl.europa.eu/mepphoto/28481.jpg;11.07.1970;Lancashire;M
Gerard BATTEN;NA;https://www.europarl.europa.eu/mepphoto/28497.jpg;27.03.1954;London;M
Alyn SMITH;NA;https://www.europarl.europa.eu/mepphoto/28508.jpg;15.09.1973;Glasgow;M
Dimitrios PAPADIMOULIS;NA;https://www.europarl.europa.eu/mepphoto/28586.jpg;21.03.1955;Athina;M
Roberts ZĪLE;NA;https://www.europarl.europa.eu/mepphoto/28615.jpg;20.06.1958;Rīga;M
Inese VAIDERE;NA;https://www.europarl.europa.eu/mepphoto/28617.jpg;03.09.1952;Jelgavā;F
Valdis DOMBROVSKIS;NA;https://www.europarl.europa.eu/mepphoto/28618.jpg;05.08.1971;Rīga;M
Tatjana ŽDANOKA;NA;https://www.europarl.europa.eu/mepphoto/28619.jpg;08.05.1950;Rīga;F
Marc TARABELLA;NA;https://www.europarl.europa.eu/mepphoto/29579.jpg;11.03.1963;Ougrée;M
Louis ALIOT;NA;https://www.europarl.europa.eu/mepphoto/30190.jpg;04.09.1969;Toulouse;M
Younous OMARJEE;NA;https://www.europarl.europa.eu/mepphoto/30482.jpg;30.09.1969;Saint-Denis (Réunion);M
Syed KAMALL;NA;https://www.europarl.europa.eu/mepphoto/33569.jpg;15.02.1967;London;M
Marian-Jean MARINESCU;NA;https://www.europarl.europa.eu/mepphoto/33982.jpg;11.08.1952;Râmnicu Vâlcea;M
Ioan Mircea PAŞCU;NA;https://www.europarl.europa.eu/mepphoto/33984.jpg;17.02.1949;Satu Mare;M
Daciana Octavia SÂRBU;NA;https://www.europarl.europa.eu/mepphoto/33989.jpg;15.01.1977;Arad;F
Corina CREȚU;NA;https://www.europarl.europa.eu/mepphoto/33997.jpg;24.06.1967;Bucureşti;F
Filiz HYUSMENOVA;NA;https://www.europarl.europa.eu/mepphoto/34249.jpg;10.06.1966;Silistra;F
Nedzhmi ALI;NA;https://www.europarl.europa.eu/mepphoto/34250.jpg;16.07.1972;Ustren, Djebel;M
Matthias GROOTE;NA;https://www.europarl.europa.eu/mepphoto/34728.jpg;21.10.1973;Leer;M
Daniel DALTON;NA;https://www.europarl.europa.eu/mepphoto/35135.jpg;31.01.1974;Oxford;M
Dame Glenis WILLMOTT;NA;https://www.europarl.europa.eu/mepphoto/35743.jpg;04.03.1951;Horden, Co. Durham;F
Aldo PATRICIELLO;NA;https://www.europarl.europa.eu/mepphoto/36392.jpg;27.09.1957;Venafro;M
Kati PIRI;NA;https://www.europarl.europa.eu/mepphoto/37229.jpg;08.04.1979;Celldömölk (HU);F
Christel SCHALDEMOSE;NA;https://www.europarl.europa.eu/mepphoto/37312.jpg;04.08.1967;Odense;F
Adina-Ioana VĂLEAN;NA;https://www.europarl.europa.eu/mepphoto/37324.jpg;16.02.1968;Ţintea;F
Eduard-Raul HELLVIG;NA;https://www.europarl.europa.eu/mepphoto/37448.jpg;27.10.1974;Zalău;M
Esther DE LANGE;NA;https://www.europarl.europa.eu/mepphoto/38398.jpg;19.02.1975;Spaubeek;F
Cristian-Silviu BUŞOI;NA;https://www.europarl.europa.eu/mepphoto/38420.jpg;01.03.1978;Drobeta Turnu-Severin;M
Georg MAYER;NA;https://www.europarl.europa.eu/mepphoto/38511.jpg;12.10.1973;Feldbach;M
Elisabeth MORIN-CHARTIER;NA;https://www.europarl.europa.eu/mepphoto/38596.jpg;10.10.1947;Ceaux-en-Couhé;F
Vladimir URUTCHEV;NA;https://www.europarl.europa.eu/mepphoto/38601.jpg;01.10.1954;Bukovo;M
Iliana IOTOVA;NA;https://www.europarl.europa.eu/mepphoto/38605.jpg;24.10.1964;Sofia;F
Victor BOŞTINARU;NA;https://www.europarl.europa.eu/mepphoto/39711.jpg;17.05.1952;Valea Mare;M
Renate WEBER;NA;https://www.europarl.europa.eu/mepphoto/39713.jpg;03.08.1955;Botoşani;F
Ramona Nicole MĂNESCU;NA;https://www.europarl.europa.eu/mepphoto/39717.jpg;06.12.1972;Constanţa;F
Theodor Dumitru STOLOJAN;NA;https://www.europarl.europa.eu/mepphoto/39721.jpg;24.10.1943;Târgovişte;M
Csaba SÓGOR;NA;https://www.europarl.europa.eu/mepphoto/39724.jpg;12.05.1964;Arad;M
Iuliu WINKLER;NA;https://www.europarl.europa.eu/mepphoto/39725.jpg;14.03.1964;Hunedoara;M
László TŐKÉS;NA;https://www.europarl.europa.eu/mepphoto/39726.jpg;01.04.1952;Cluj;M
Andi CRISTEA;NA;https://www.europarl.europa.eu/mepphoto/40224.jpg;05.01.1982;Buzău;M
Sirpa PIETIKÄINEN;NA;https://www.europarl.europa.eu/mepphoto/40599.jpg;19.04.1959;Parikkala;F
Elisabetta GARDINI;NA;https://www.europarl.europa.eu/mepphoto/58758.jpg;03.06.1956;Padova;F
Jan HUITEMA;NA;https://www.europarl.europa.eu/mepphoto/58789.jpg;05.07.1984;Makkinga;M
Innocenzo LEONTINI;NA;https://www.europarl.europa.eu/mepphoto/72754.jpg;25.05.1959;NA;M
Rachida DATI;NA;https://www.europarl.europa.eu/mepphoto/72775.jpg;27.11.1965;Saint-Rémy;F
Nadine MORANO;NA;https://www.europarl.europa.eu/mepphoto/72779.jpg;06.11.1963;Nancy;F
Petr MACH;NA;https://www.europarl.europa.eu/mepphoto/84175.jpg;06.05.1975;Praha;M
Victor NEGRESCU;NA;https://www.europarl.europa.eu/mepphoto/88882.jpg;17.08.1985;București;M
Carolina PUNSET;NA;https://www.europarl.europa.eu/mepphoto/90110.jpg;05.01.1971;Washington D. C.;F
Ulrike RODUST;NA;https://www.europarl.europa.eu/mepphoto/93624.jpg;04.06.1949;Quakenbrück;F
Jean-Paul DENANOT;NA;https://www.europarl.europa.eu/mepphoto/94282.jpg;24.04.1944;Boisseuil;M
Jeroen LENAERS;NA;https://www.europarl.europa.eu/mepphoto/95074.jpg;29.04.1984;Stramproy;M
Viorica DĂNCILĂ;NA;https://www.europarl.europa.eu/mepphoto/95281.jpg;16.12.1963;Roşiori de Vede;F
Pavel SVOBODA;NA;https://www.europarl.europa.eu/mepphoto/96272.jpg;09.04.1962;Praha;M
Nessa CHILDERS;NA;https://www.europarl.europa.eu/mepphoto/96603.jpg;09.10.1956;Dublin;F
Helmut SCHOLZ;NA;https://www.europarl.europa.eu/mepphoto/96646.jpg;21.06.1954;Berlin;M
Philippe LAMBERTS;NA;https://www.europarl.europa.eu/mepphoto/96648.jpg;14.03.1963;Bruxelles;M
Eduard KUKAN;NA;https://www.europarl.europa.eu/mepphoto/96651.jpg;26.12.1939;Trnovec nad Váhom;M
Monika SMOLKOVÁ;NA;https://www.europarl.europa.eu/mepphoto/96655.jpg;06.10.1956;Janovík;F
Boris ZALA;NA;https://www.europarl.europa.eu/mepphoto/96656.jpg;09.12.1954;Zlaté Moravce;M
Krisztina MORVAI;NA;https://www.europarl.europa.eu/mepphoto/96661.jpg;22.06.1963;Budapest;F
Morten MESSERSCHMIDT;NA;https://www.europarl.europa.eu/mepphoto/96663.jpg;13.11.1980;Frederikssund;M
Seán KELLY;NA;https://www.europarl.europa.eu/mepphoto/96668.jpg;26.04.1952;Killarney;M
Louis MICHEL;NA;https://www.europarl.europa.eu/mepphoto/96670.jpg;02.09.1947;Tirlemont;M
Marita ULVSKOG;NA;https://www.europarl.europa.eu/mepphoto/96672.jpg;04.09.1951;Luleå;F
